project_a,project_b,winner,winner_name
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
Axelar Network,OneForm – SocialCap,project_a,Axelar Network
FIP Editors - Filecoin Improvement Proposal Governance,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Boost,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Old Faithful,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
Filecoin Address Drainer,IPFS Public Utilities,project_b,IPFS Public Utilities
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
IPFS Desktop and Companion,go-libp2p,project_b,go-libp2p
Filecoin Ledger App & Installation Hub,Crossfi,project_a,Filecoin Ledger App & Installation Hub
Filliquid,Lily: blockchain data extraction for Filecoin,project_b,Lily: blockchain data extraction for Filecoin
Filecoin Spark,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Filecoin Spark
Filecoin BigQuery Data Repository,BlockseBlock,project_a,Filecoin BigQuery Data Repository
Asia-SPWG,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
FilDOS,SealGuard,project_b,SealGuard
Curio Smart Cordon & Restart System,Filmint,project_a,Curio Smart Cordon & Restart System
Forest,MechaFIL-JAX,project_b,MechaFIL-JAX
MYRAD,Multichain Storage,project_b,Multichain Storage
FilPunks,iso-filecoin,project_b,iso-filecoin
Filecoin Data Portal,Filscan Explorer,project_a,Filecoin Data Portal
B<>rder/ess Developers Program,Filecoin Slack Community Admin,project_a,B<>rder/ess Developers Program
Storacha-Solana-SDK,NanoDC Project,project_b,NanoDC Project
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Cuview,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Forest Explorer,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Forest Explorer
Guide To Filecoin - Easing the Transition to Filecoin.,filecoin-checker,project_b,filecoin-checker
Lighthouse,Safe on Filecoin,project_a,Lighthouse
FilOz – Advancing the Filecoin Protocol,Meet with Huddle01,project_a,FilOz – Advancing the Filecoin Protocol
The Epoch Clock,Eastore,project_b,Eastore
Chain.Love,Filecoin FIPs Tracker,project_a,Chain.Love
JZFS - Building Data Hub-and-Spoke Model with Filecoin,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Silvi: IPFS-Powered Biodiversity Infrastructure,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Cyberport Data Integration,OrbitChina,project_b,OrbitChina
Forest Archive,witnesschain,project_a,Forest Archive
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,filsnap,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
Filecoin Orbit Bootcamp Africa,OpenEdStore Decentralized Educational Storage Platform,project_a,Filecoin Orbit Bootcamp Africa
Beryx Filecoin Explorer,CalibrationNet Stability Project,project_a,Beryx Filecoin Explorer
Secured Finance,Boxo and Kubo,project_b,Boxo and Kubo
Filet Finance,MUSE,project_a,Filet Finance
chainfee,ND Labs,project_a,chainfee
FILCAPETOWN,Drips,project_b,Drips
Curio Snark Market,FIL LAGOS,project_a,Curio Snark Market
MetaEra,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
Filosign,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Beryx Filecoin API,Filecoin Nigeria,project_a,Beryx Filecoin API
4EVERLAND,Filecoin Orbit Uganda,project_a,4EVERLAND
Lynx – Storage Provider Retrieval Analytics Platform,ETH-FIL swap,project_a,Lynx – Storage Provider Retrieval Analytics Platform
GainForest: The world’s first community-owned data commons for nature impact,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,GainForest: The world’s first community-owned data commons for nature impact
Keypo,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
ETHAccra,Filecoin Kenya Community,project_b,Filecoin Kenya Community
fil-miner-info.safematrix,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
万佳社区,Filecoin Beam,project_a,万佳社区
Retrieval Tester,Root Key Holder management portal,project_b,Root Key Holder management portal
WarmWeb,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",FIL RetroPGF Data Analysis & Round Modeling,project_a,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
boxo-starter-kit,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
Filecoin Client Implementation - Venus,Curio APT Repository (Filecoin APT),project_a,Filecoin Client Implementation - Venus
Ancients Research,Curio Storage,project_b,Curio Storage
Filecoin Community Services,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Filecoin Community Services
Fil Implementers WG - Cross-Client Coordination and Governance,UCAN,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
CIDgravity Nextcloud App,Curio Dashboard,project_b,Curio Dashboard
Axelar Network,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Axelar Network
CIDgravity Filecoin Gateway,Open Source Observer (OSO),project_a,CIDgravity Filecoin Gateway
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",OneForm – SocialCap,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
FIP Editors - Filecoin Improvement Proposal Governance,Filecoin Community Service -VenusHub,project_a,FIP Editors - Filecoin Improvement Proposal Governance
Boost,IPFS Public Utilities,project_a,Boost
FIL-B (FIL Builders) DX and Community,Old Faithful,project_a,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Crossfi,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
go-libp2p,Filliquid,project_a,go-libp2p
Filecoin Spark,Filecoin Ledger App & Installation Hub,project_a,Filecoin Spark
BlockseBlock,Lily: blockchain data extraction for Filecoin,project_b,Lily: blockchain data extraction for Filecoin
FileScope AI: Blockchain-Powered Dataset Analysis Platform,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
Filecoin BigQuery Data Repository,FilDOS,project_a,Filecoin BigQuery Data Repository
Filmint,Asia-SPWG,project_b,Asia-SPWG
MechaFIL-JAX,SealGuard,project_a,MechaFIL-JAX
Curio Smart Cordon & Restart System,Multichain Storage,project_b,Multichain Storage
iso-filecoin,Forest,project_b,Forest
MYRAD,Filscan Explorer,project_b,Filscan Explorer
B<>rder/ess Developers Program,FilPunks,project_a,B<>rder/ess Developers Program
Filecoin Data Portal,NanoDC Project,project_a,Filecoin Data Portal
Filecoin Slack Community Admin,Cuview,project_a,Filecoin Slack Community Admin
Storacha-Solana-SDK,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_b,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption)
Guide To Filecoin - Easing the Transition to Filecoin.,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Safe on Filecoin,Forest Explorer,project_b,Forest Explorer
filecoin-checker,Meet with Huddle01,project_a,filecoin-checker
Lighthouse,The Epoch Clock,project_a,Lighthouse
Filecoin FIPs Tracker,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Eastore,project_b,Eastore
FIP 100 Research & Development,Chain.Love,project_a,FIP 100 Research & Development
OrbitChina,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
witnesschain,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Cyberport Data Integration,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,Forest Archive,project_b,Forest Archive
Filecoin Orbit Bootcamp Africa,filsnap,project_b,filsnap
CalibrationNet Stability Project,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
OpenEdStore Decentralized Educational Storage Platform,Boxo and Kubo,project_b,Boxo and Kubo
Filet Finance,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
ND Labs,Secured Finance,project_b,Secured Finance
MUSE,FILCAPETOWN,project_a,MUSE
chainfee,Curio Snark Market,project_b,Curio Snark Market
Drips,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,Drips
Filosign,FIL LAGOS,project_b,FIL LAGOS
Beryx Filecoin API,MetaEra,project_a,Beryx Filecoin API
Blockscout Open Source Filecoin Explorer,Filecoin Orbit Uganda,project_a,Blockscout Open Source Filecoin Explorer
Lynx – Storage Provider Retrieval Analytics Platform,Filecoin Nigeria,project_a,Lynx – Storage Provider Retrieval Analytics Platform
4EVERLAND,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
ETH-FIL swap,Keypo,project_a,ETH-FIL swap
ETHAccra,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
fil-miner-info.safematrix,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Filecoin Beam,Filecoin Kenya Community,project_b,Filecoin Kenya Community
Retrieval Tester,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
WarmWeb,万佳社区,project_b,万佳社区
Root Key Holder management portal,FIL RetroPGF Data Analysis & Round Modeling,project_a,Root Key Holder management portal
Spacescope: API service for the Filecoin ecosystem,boxo-starter-kit,project_a,Spacescope: API service for the Filecoin ecosystem
Curio APT Repository (Filecoin APT),"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Curio Storage,project_b,Curio Storage
Filecoin Community Services,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
UCAN,Ancients Research,project_a,UCAN
DevTTY Filecoin Mainnet Bootstrap Nodes,Curio Dashboard,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
